feature,importance
hour,0.4956318657771609
temp_lag_1,0.2533928686490433
temp_rolling_min_3,0.033665780249511876
temp_rolling_max_3,0.02914764166823492
temp_diff_2,0.027095169133546478
temp_rolling_std_3,0.019602708715763188
humidity_rolling_mean_3,0.012774342793806787
temp_rolling_mean_3,0.01111678712728763
temp_rolling_mean_6,0.010201349572876859
wind_speed,0.009291160068696852
wind_gust,0.008940754361938507
hour_sin,0.00874670083181202
hour_cos,0.00784442639075264
temp_max,0.007383832255412057
humidity,0.0073238464064942525
temp_pressure_interaction,0.004842286720376817
temp,0.00421688450214053
sea_level,0.004138042489918815
wind_chill_effect,0.004113765255737613
pressure,0.003971235432985965
grnd_level,0.003922355536404787
temp_humidity_interaction,0.0036489410346650123
temp_min,0.0034567112848075156
feels_like,0.0032504506424418473
wind_speed_lag_1,0.003182836309876179
temp_lag_3,0.0027370904793261493
temp_diff_1,0.002595577791497064
temp_lag_4,0.002445305440411484
pressure_diff_1,0.0024354402797556523
pressure_lag_1,0.0021090168986646926
humidity_lag_1,0.0016702568122140642
is_day,0.0012530924220979628
wind_deg,0.0012253074633536629
temp_lag_2,0.00092584145777242
pressure_rolling_mean_3,0.0006288077144133517
clouds_all,0.00040776512582008925
dow_cos,0.00022098036256512835
weather_id,0.00013954528677701878
dow_sin,0.00010738665073648452
day_of_month,7.48909791005886e-05
day_of_week,4.41135174496846e-05
month_cos,2.8479284799499593e-05
month,2.679718408692031e-05
month_sin,1.2604218729358813e-05
is_weekend,8.95741873522999e-06
pop,0.0
visibility,0.0
